"Name","Directory","Owner","MB","CreationTime","LastAccessTime"
"remotes",,"THANHMINH\CITY","9.5367431640625E-07","3/29/2021 11:50:22 AM","3/30/2021 10:33:33 AM"
"origin",,"THANHMINH\CITY","9.5367431640625E-07","3/29/2021 11:50:22 AM","3/30/2021 10:33:34 AM"
"Moved Items",,"THANHMINH\CITY","9.5367431640625E-07","3/29/2021 1:02:48 PM","3/30/2021 10:33:30 AM"
"item1_renamed.txt","C:\Temp\Copied Data\Moved Items","THANHMINH\CITY","1.43051147460938E-05","3/29/2021 1:02:48 PM","3/29/2021 2:24:15 PM"
"Moved Items",,"THANHMINH\CITY","9.5367431640625E-07","3/29/2021 12:55:45 PM","3/30/2021 10:33:30 AM"
"item1.txt","C:\Temp\Data","THANHMINH\CITY","1.43051147460938E-05","3/29/2021 12:47:22 PM","3/29/2021 2:24:15 PM"
"reports_cmd.csv","C:\Temp\Data","THANHMINH\CITY","0.00129604339599609","3/29/2021 1:47:06 PM","3/29/2021 1:47:06 PM"
"reports_cmd.txt","C:\Temp\Data","THANHMINH\CITY","0.00155353546142578","3/29/2021 1:50:33 PM","3/29/2021 1:51:34 PM"
"TextFileOwner.csv","C:\Temp\Data","THANHMINH\CITY","0.000248908996582031","3/30/2021 11:05:49 AM","3/30/2021 11:07:36 AM"
"item1_renamed.txt","C:\Temp\Data\Moved Items","THANHMINH\CITY","1.43051147460938E-05","3/29/2021 12:52:47 PM","3/29/2021 2:24:15 PM"
"FileFolderOwner.csv","C:\Temp\Logs","THANHMINH\CITY","0","3/30/2021 11:11:46 AM","3/30/2021 11:17:13 AM"
"2020.jpg","C:\Temp\PSFolderNew","THANHMINH\CITY","0.0450506210327148","3/29/2021 4:32:57 PM","3/29/2021 4:32:58 PM"
"ComputerInfo.json","C:\Temp\PSFolderNew","THANHMINH\CITY","0.00211429595947266","3/28/2021 1:19:16 PM","3/29/2021 11:41:23 AM"
"processes_delimeter.csv","C:\Temp\PSFolderNew","THANHMINH\CITY","0.157389640808105","3/28/2021 12:23:35 PM","3/29/2021 11:48:14 AM"
"processes.csv","C:\Temp\PSFolderNew","THANHMINH\CITY","0.15775203704834","3/28/2021 12:06:47 PM","3/29/2021 11:48:14 AM"
"simple.csv","C:\Temp\PSFolderNew","THANHMINH\CITY","4.89671325683594","3/28/2021 12:03:39 PM","3/29/2021 11:48:14 AM"
"simple.json","C:\Temp\PSFolderNew","THANHMINH\CITY","0.000903129577636719","3/28/2021 1:14:40 PM","3/29/2021 11:48:14 AM"
"simple.xml","C:\Temp\PSFolderNew","THANHMINH\CITY","0.0010986328125","3/28/2021 11:56:20 AM","3/29/2021 10:48:36 AM"
